Name,_RA,_DE,Vmag,e_Vmag,plx,e_plx,r_plx,Bin,SNR,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,Xi,e_Xi,__CI_H_,__CH_H_,__OI_H_,__NaI_H_,__MgI_H_,__AlI_H_,__SiI_H_,__SI_H_,__CaI_H_,__ScI_H_,__ScII_H_,__TiI_H_,__TiII_H_,__VI_H_,__CrI_H_,__CrII_H_,__MnI_H_,__CoI_H_,__NiI_H_,__CuI_H_,__ZnI_H_,Agemp,AgeLL1s,AgeUL1s,AgeLL2s,AgeUL2s,Agemean,Agestd,Massmp,MassLL1s,MassUL1s,MassLL2s,MassUL2s,MassMean,MassStd,__SrI_H_,e__SrI_H_,__YII_H_,e__YII_H_,__ZrII_H_,e__ZrII_H_,__BaII_H_,e__BaII_H_,__LaII_H_,e__LaII_H_,__CeII_H_,e__CeII_H_,__PrII_H_,e__PrII_H_,__NdII_H_,e__NdII_H_,__SmII_H_,e__SmII_H_,__EuII_H_,e__EuII_H_,__GdII_H_,e__GdII_H_,__DyII_H_,e__DyII_H_
HIP40133,122.95495,16.52386,7.36,0.012,29.53,0.3,Gaia,no,1400,5745,3,4.365,0.009,0.116,0.002,0.99,0.01,0.04,0.051,0.09,0.112,0.148,0.16,0.117,0.073,0.122,0.122,0.155,0.136,0.132,0.134,0.123,0.114,0.12,0.122,0.135,0.137,0.112,5.4,5.1,5.7,4.8,5.9,5.4,0.3,1.04,1.033,1.054,1.03,1.059,1.04,0.001,0.122,0.005,0.103,0.007,0.101,0.015,0.103,0.006,0.085,0.013,0.084,0.013,0.098,0.01,0.092,0.01,0.091,0.017,0.148,0.012,0.117,0.005,0.093,0.013
HIP41317,126.45632,-29.93059,7.79,0.007,25.59,0.22,Gaia,no,1000,5706,3,4.385,0.01,-0.081,0.003,0.99,0.01,-0.092,-0.139,-0.028,-0.105,-0.024,-0.012,-0.059,-0.079,-0.043,-0.052,-0.042,-0.03,-0.042,-0.059,-0.082,-0.08,-0.112,-0.074,-0.093,-0.076,-0.089,7.7,7.4,8,7.2,8.2,7.7,0.3,0.96,0.953,0.974,0.95,0.979,0.96,0.002,-0.158,0.004,-0.159,0.007,-0.124,0.015,-0.115,0.006,-0.089,0.011,-0.083,0.011,-0.02,0.01,-0.062,0.009,-0.062,0.005,-0.029,0.005,-0.035,0.005,-0.042,0.009
HIP42333,129.45956,-6.80688,6.738,0.008,40.95,0.33,Gaia,no,1000,5846,8,4.5,0.016,0.132,0.006,1.11,0.01,-0.026,0.038,0.057,0.078,0.085,0.09,0.092,0.049,0.148,0.117,0.087,0.127,0.1,0.127,0.148,0.138,0.117,0.077,0.089,0.053,0.081,1,0.6,1.7,0.3,2.2,1.2,0.5,1.07,1.062,1.086,1.052,1.081,1.069,0.006,0.259,0.009,0.222,0.011,0.215,0.01,0.288,0.011,0.213,0.011,0.199,0.016,0.234,0.011,0.196,0.017,0.12,0.022,0.185,0.014,0.111,0.014,0.17,0.009
HIP43297,132.3022,3.48476,7.44,0.008,32.87,0.31,Gaia,no,1000,5705,4,4.505,0.009,0.082,0.003,1,0.01,-0.056,-0.002,0.027,0.017,0.062,0.057,0.051,0.036,0.094,0.058,0.042,0.093,0.071,0.091,0.098,0.091,0.065,0.043,0.048,0.017,0.034,1.8,1.4,2.3,0.4,2.8,1.9,0.5,1.01,1.003,1.019,1,1.036,1.014,0.005,0.191,0.007,0.169,0.007,0.176,0.012,0.2,0.006,0.144,0.004,0.165,0.017,0.147,0.008,0.176,0.014,0.145,0.012,0.121,0.007,0.125,0.004,0.142,0.012
HIP44713,136.6618,-43.49198,7.303,0.008,26.03,0.23,Gaia,no,1500,5759,3,4.28,0.01,0.063,0.004,1.09,0.01,0.065,0.061,0.086,0.028,0.093,0.109,0.07,0.089,0.073,0.053,0.084,0.078,0.082,0.062,0.066,0.07,0.042,0.049,0.045,0.081,0.078,7.7,7.4,8,7.2,8.3,7.8,0.3,1.03,1.022,1.047,1.014,1.058,1.029,0.003,-0.047,0.004,-0.039,0.008,-0.024,0.008,0.04,0.006,0.038,0.022,0.057,0.013,0.093,0.008,0.076,0.013,0.068,0.009,0.074,0.013,0.081,0.005,0.071,0.006
HIP44935,137.2932,10.8217,8.71,0.016,15.14,0.27,Gaia,no,600,5771,4,4.37,0.012,0.038,0.004,1.04,0.01,0.037,0.007,0.043,0.069,0.067,0.086,0.056,0.045,0.045,0.049,0.095,0.058,0.063,0.054,0.041,0.04,0.044,0.056,0.052,0.076,0.057,6.6,6.2,6.9,5.8,7.2,6.5,0.3,1.01,1.003,1.024,0.996,1.029,1.009,0.003,0.007,0.005,-0.013,0.008,-0.002,0.014,0.001,0.007,0.002,0.022,0.013,0.013,0.161,0.009,0.04,0.008,0.029,0.025,0.1,0.014,0.073,0.005,0.038,0.038
HIP44997,137.47441,14.45676,8.321,0.01,19.9,1.12,Hipparcos,no,800,5728,3,4.41,0.011,-0.012,0.003,0.96,0.01,-0.06,-0.055,0.032,-0.036,-0.024,-0.017,-0.025,-0.027,-0.003,0.001,-0.029,-0.011,-0.022,-0.022,-0.009,-0.015,-0.011,-0.035,-0.016,-0.037,-0.06,6.6,6.2,7,5.8,7.5,6.6,0.4,0.97,0.963,0.984,0.96,0.989,0.97,0.001,0.009,0.005,-0.001,0.009,0.007,0.012,-0.019,0.009,-0.002,0.012,-0.007,0.014,0.06,0.008,0.002,0.011,0.026,0.012,0.054,0.01,-0.054,0.005,-0.023,0.016
HIP4909,15.73925,-9.86124,8.534,0.017,19.14,0.31,Gaia,no,500,5861,7,4.5,0.016,0.048,0.006,1.11,0.01,-0.113,-0.038,0.015,-0.038,-0.005,-0.034,0.002,-0.047,0.06,0.048,-0.019,0.035,0.008,0.02,0.058,0.045,-0.003,-0.024,-0.019,-0.076,-0.035,0,0,0,0,0,0.6,0.4,1.06,1.051,1.077,1.042,1.088,1.055,0.005,0.17,0.008,0.138,0.011,0.124,0.013,0.253,0.007,0.205,0.009,0.186,0.017,0.177,0.015,0.219,0.012,0.102,0.034,0.099,0.013,0.118,0.011,0.106,0.047
HIP49756,152.34762,2.37108,7.543,0.012,27.96,0.24,Gaia,no,1000,5789,3,4.435,0.009,0.023,0.003,1.03,0.01,0.035,0.009,0.023,0.034,0.034,0.031,0.029,0.024,0.031,0.032,0.045,0.034,0.035,0.036,0.027,0.029,0.029,0.036,0.027,0.027,0.007,4.5,4.1,4.8,3.6,5.2,4.5,0.4,1.01,1.003,1.026,1,1.037,1.01,0.002,0.049,0.005,0.032,0.006,0.049,0.009,0.02,0.01,0.02,0.023,0.041,0.014,0.03,0.015,0.056,0.006,0.047,0.004,0.089,0.015,0.044,0.005,0.034,0.025
HIP5301,16.95276,-8.2337,8.449,0.012,19.74,0.41,Gaia,no,300,5723,3,4.395,0.011,-0.074,0.003,0.98,0.01,-0.084,-0.112,-0.045,-0.077,-0.053,-0.063,-0.077,-0.034,-0.061,-0.075,-0.071,-0.067,-0.075,-0.085,-0.074,-0.069,-0.092,-0.089,-0.084,-0.08,-0.093,7.3,6.8,7.7,6.3,7.9,7.2,0.4,0.96,0.953,0.974,0.95,0.979,0.96,0.001,-0.093,0.004,-0.095,0.008,-0.076,0.006,-0.075,0.01,-0.006,0.037,-0.052,0.014,0.094,0.015,-0.041,0.015,-0.065,0.022,0.02,0.011,-0.118,0.008,0.033,0.042
